RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           50     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     7.823D+02  8.212D+01
    1    3     1     0  ---    1  9.7D-06  3.9D-02  4.152D+01  4.919D+00
    2    5     0     0  con    1  5.0D+00  6.7D-03  3.279D+01  4.112D+00
    3    6     0     0  con    0  1.0D+00  3.2D-02  8.273D+00  2.347D+00
    4    7     0     0  con    0  1.0D+00  9.1D-03  7.541D+00  2.128D+00
    5    8     0     0  con    0  1.0D+00  4.6D-02  1.132D+01  1.588D+00
    6   10     0     0  con    1  5.0D-01  1.1D-02  3.919D+00  1.475D+00
    7   11     0     0  con    0  1.0D+00  2.1D-03  3.265D+00  1.453D+00
    8   12     0     0  con    0  1.0D+00  1.8D-02  5.389D+00  1.345D+00
    9   13     0     0  con    0  1.0D+00  1.4D-02  4.416D+00  1.276D+00
   10   14     0     0  con    0  1.0D+00  3.7D-02  3.516D+00  1.130D+00
   11   15     0     0  con    0  1.0D+00  3.0D-02  3.755D+00  1.029D+00
   12   16     0     0  con    0  1.0D+00  5.4D-02  1.109D+01  9.166D-01
   13   18     0     0  con    1  1.4D-01  9.2D-03  9.597D+00  8.879D-01
   14   19     0     0  con    0  1.0D+00  1.5D-02  6.715D+00  8.013D-01
   15   20     0     0  con    0  1.0D+00  1.7D-02  3.059D+00  7.329D-01
   16   21     0     0  con    0  1.0D+00  3.2D-03  2.747D+00  7.167D-01
   17   22     0     0  con    0  1.0D+00  1.5D-02  3.826D+00  6.763D-01
   18   23     0     0  con    0  1.0D+00  1.2D-02  3.418D+00  6.347D-01
   19   25     0     0  con    1  4.3D-01  1.4D-02  4.238D+00  6.065D-01
   20   26     0     0  con    0  1.0D+00  6.6D-03  2.564D+00  5.724D-01
   21   27     0     0  con    0  1.0D+00  9.8D-03  3.339D+00  5.530D-01
   22   28     0     0  con    0  1.0D+00  1.3D-02  4.062D+00  5.322D-01
   23   29     0     0  con    0  1.0D+00  8.6D-03  4.183D+00  5.093D-01
   24   31     0     0  con    1  8.3D-02  1.7D-03  5.178D+00  5.049D-01
   25   33     0     0  con    1  5.2D-01  5.3D-03  3.682D+00  4.905D-01
   26   34     0     0  con    0  1.0D+00  3.7D-03  2.904D+00  4.766D-01
   27   35     0     0  con    0  1.0D+00  6.9D-03  2.644D+00  4.684D-01
   28   36     0     0  con    0  1.0D+00  1.2D-02  3.063D+00  4.504D-01
   29   37     0     0  con    0  1.0D+00  6.1D-03  3.187D+00  4.350D-01
   30   38     0     0  con    0  1.0D+00  5.3D-03  2.685D+00  4.247D-01
   31   39     0     0  con    0  1.0D+00  4.2D-03  2.150D+00  4.205D-01
   32   40     0     0  con    0  1.0D+00  2.8D-03  2.187D+00  4.126D-01
   33   42     0     0  con    1  3.4D-01  2.4D-03  1.743D+00  4.083D-01
   34   43     0     0  con    0  1.0D+00  3.7D-03  2.324D+00  4.079D-01
   35   45     0     0  con    1  3.5D-01  1.2D-03  3.734D+00  4.054D-01
   36   46     0     0  con    0  1.0D+00  1.9D-03  1.861D+00  4.015D-01
   37   47     0     0  con    0  1.0D+00  1.6D-03  1.908D+00  3.989D-01
